N°,Rev.,Uso Frecuente,Descripción del Activo Fijo,Instrumento (Especificación),Código de inventario del Activo Fijo (Etiqueta) o LEO,Campus/Sede donde se encuentra físicamente el Activo Fijo,Departamento al que pertenece el Activo Fijo,Ubicación del Activo Fijo,RUT usuario responsable del Activo Fijo,Nombre del usuario responsable del Activo Fijo,Estado del Activo Fijo,Marca,Modelo,Serie,Fecha ingreso,Etiqueta USM,Comentarios,Código de inventario del Activo Fijo en Orden Aldabético
412,Disponible,No,Generador,Generador de señal de RF programable,LEO-299,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,NOVA,NS2-2000-100,21003,2001-11-22 00:00:00,-,,LEO-0299
413,Disponible,Sí,Generador,"Generador de señal 9Khz-2,2GHz",LEO-300,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ROHDE & SCHWARZ,SML02,100207,2001-11-27 00:00:00,010000017673,,LEO-0300
414,Disponible,No,Analizador,Analizador vectorial de mallas,LEO-301,Casa Central,Electrónica,Sala B 356,,Uso general ,Inoperativo,ROHDE & SCHWARZ,ZVRE,100054,2011-10-29 00:00:00,-,,LEO-0301
415,Disponible,No,Teléfono,Kit de Portable Telephone,LEO-302,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,COMPANION,C3020,COMPAN0012,2022-01-04 00:00:00,-,,LEO-0302
416,Disponible,No,Teléfono,Kit de Portable Telephone,LEO-303,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,COMPANION,C3020,COMPAN0012,2022-01-04 00:00:00,-,,LEO-0303
417,Disponible,No,Teléfono,Kit de Portable Telephone,LEO-304,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,COMPANION,C3020,COMPAN0012,2022-01-04 00:00:00,-,,LEO-0304
418,Disponible,No,Teléfono,Kit de Portable Telephone,LEO-305,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,COMPANION,C3020,COMPAN0012,2022-01-04 00:00:00,-,,LEO-0305
419,Disponible,No,Teléfono,Kit de Portable Telephone,LEO-306,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,COMPANION,C3020,COMPAN0012,2022-01-04 00:00:00,-,,LEO-0306
420,Disponible,No,Teléfono,Kit de Portable Telephone,LEO-307,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,COMPANION,C3020,COMPAN0012,2022-01-04 00:00:00,-,,LEO-0307
421,Disponible,No,Generador,Function 80 MHz  / Arbitrary Waveform Generator,LEO-308,Casa Central,Electrónica,Sala B 028,,Uso general ,Sin Uso,Agilent,33250,MY40003076,2002-01-10 00:00:00,010000017560,,LEO-0308
422,Disponible,Sí,Analizador,Power Quality Anylezer,LEO-309,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FLUKE,43R,DM7480307,2002-03-18 00:00:00,-,,LEO-0309
423,Disponible,Sí,Analizador,Spectrum Analyzer   9KHz...............7GHz      FSP,LEO-310,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ROHDE & SCHWARZ,FSP7,100503,2002-04-04 00:00:00,-,,LEO-0310
424,No Disponible,No,Teléfono,Teléfono SIEMENS,LEO-311,Casa Central,Electrónica,-,,Uso general ,-,SIEMENS,Gigaset 1000s,N/T,2002-04-29 00:00:00,-,,LEO-0311
425,Disponible,No, Teléfono,Base y cargador para telefono SIEMENS,LEO-311C,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,SIEMENS,Gigaset 1000L,N/T,2002-04-29 00:00:00,-,,LEO-311C
426,Disponible,No,Teléfono,Teléfono SIEMENS,LEO-312,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,SIEMENS,Gigaset 1000s,N/T,2002-04-29 00:00:00,-,,LEO-0312
427,Disponible,No,Teléfono,Base y cargador para teléfono SIEMENS,LEO-312C,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,SIEMENS,Gigaset 1010,29200,2002-04-29 00:00:00,-,,LEO-312C
428,Prestado,Sí,Fuente de Poder,Fuente de poder dual con tracking más 5V fijos,LEO-313,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,Gwinstek,GPC-3030D,9641292,2002-07-08 00:00:00,-,,LEO-0313
429,Disponible,Sí,Fuente de Poder,Fuente de poder dual con tracking más 5V fijos,LEO-314,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Gwinstek,GPC-3030D,7700219,2002-07-08 00:00:00,,,LEO-0314
430,Disponible,No,Simulador Telefónico,Simulador telefónico,LEO-315,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,TELTONE,TLS-5-5C-01,65465,2002-06-25 00:00:00,-,,LEO-0315
431,No Disponible,No,Fuente de Poder,Fuente de poder simple ,LEO-316,Casa Central,Electrónica,-,,Uso general ,-,Gwinstek,GPS-3030,3671973,2002-07-08 00:00:00,-,,LEO-0316
432,Disponible,Sí,Multímetro,Multímetro fibra óptica,LEO-317,Casa Central,Electrónica,Sala B 347,,Uso general ,Operativo,Agilent,8163A,DE38701251,2002-08-09 00:00:00,-,,LEO-0317
433,Disponible,Sí,Atenuador Óptico,Atenuador óptico,LEO-318,Casa Central,Electrónica,Sala B 347,,Uso general ,Operativo,Hewlett Packard,8156A,SN3328 G 05371,2002-08-09 00:00:00,-,,LEO-0318
434,Disponible,No,Equipo para Fibra Óptica,Mini OTDR,LEO-319,Casa Central,Electrónica,-,,Uso general ,-,Agilent Technologies,E6000(E6003B),DE41301821,2002-08-09 00:00:00,-,,LEO-0319
435,Disponible,No,Sonda de Corriente,"LEM Medidor de corriente K=0,5",LEO-320,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,USM,-,-,2022-08-19 00:00:00,-,,LEO-0320
436,Disponible,No,Sonda de Corriente,"LEM Medidor de corriente K=0,6",LEO-321,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,USM,-,-,2022-08-19 00:00:00,-,,LEO-0321
437,Baja,No,Proyector,Proyector,LEO-322,Baja,Baja,Baja,,Baja,Baja,Panasonic,PT-L390U,SL6260019,2002-09-02 00:00:00,-,,LEO-0322
438,Disponible,Sí,Osciloscopio,Osciloscopio cuatro canales 100Mhz,LEO-323,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Tektronix,TDS 2014,C011955,2002-09-12 00:00:00,-,,LEO-0323
439,Disponible,Sí,Osciloscopio,Osciloscopio cuatro canales 100Mhz,LEO-324,Casa Central,Electrónica,Sala B 028,,Uso general ,Operativo,Tektronix,TDS 2014,C011957,2002-09-12 00:00:00,010000017632,,LEO-0324
440,Prestado,Sí,Amplificador Punta de Prueba,Amplificador para punta de prueba de corriente,LEO-325,Casa Central,Electrónica,Profesor Pablo Lezana,,Uso general ,Operativo,Tektronix,TM502A,14506,2002-09-12 00:00:00,-,,LEO-0325
441,Disponible,No,Sonda de Corriente,Punta de prueba de corriente,LEO-326,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Tektronix,A6303,B047135,2002-09-12 00:00:00,-,,LEO-0326
442,,,UPS,UPS ,LEO-327,Casa Central,Electrónica,,,Uso general ,,W cell,PP-2000,TPF21C047,2002-09-12 00:00:00,-,,LEO-0327
443,,,UPS,UPS ,LEO-328,Casa Central,Electrónica,,,Uso general ,,Liebert,GXT1500RT-230,0205200010AF4T1,2002-09-12 00:00:00,-,,LEO-0328
